"symbol","type","database"
"CCL14","cytokin/chemokine_&_receptors","Online resource"
"CCL14","predicted secreted protein","HPA"
"CCL14","cytokin/chemokine_&_receptors","KEGG"
"CCL14","secreted protein","NABA"
"CCL14","cytokin/chemokine_&_receptors","GSEA"
"CCL15","cytokin/chemokine_&_receptors","Online resource"
"CCL15","predicted secreted protein","HPA"
"CCL15","cytokin/chemokine_&_receptors","KEGG"
"CCL15","secreted protein","NABA"
"CCL15","cytokin/chemokine_&_receptors","WP"
"CCL15","cytokin/chemokine_&_receptors","GSEA"
"CCL16","cytokin/chemokine_&_receptors","Online resource"
"CCL16","predicted secreted protein","HPA"
"CCL16","cytokin/chemokine_&_receptors","KEGG"
"CCL16","secreted protein","NABA"
"CCL16","cytokin/chemokine_&_receptors","REACTOME"
"CCL16","cytokin/chemokine_&_receptors","GSEA"
"CCL17","cytokin/chemokine_&_receptors","Online resource"
"CCL17","predicted secreted protein","HPA"
"CCL17","cytokin/chemokine_&_receptors","KEGG"
"CCL17","secreted protein","NABA"
"CCL17","cytokin/chemokine_&_receptors","REACTOME"
"CCL17","cytokin/chemokine_&_receptors","WP"
"CCL17","cytokin/chemokine_&_receptors","GSEA"
"CCL18","cytokin/chemokine_&_receptors","Online resource"
"CCL18","predicted secreted protein","HPA"
"CCL18","cytokin/chemokine_&_receptors","KEGG"
"CCL18","secreted protein","NABA"
"CCL18","cytokin/chemokine_&_receptors","GSEA"
"CCL19","cytokin/chemokine_&_receptors","Online resource"
"CCL19","predicted secreted protein","HPA"
"CCL19","predicted secreted protein","VerSeDa"
"CCL19","cytokin/chemokine_&_receptors","KEGG"
"CCL19","secreted protein","NABA"
"CCL19","cytokin/chemokine_&_receptors","REACTOME"
"CCL19","cytokin/chemokine_&_receptors","WP"
"CCL19","cytokin/chemokine_&_receptors","GSEA"
"CCL2","cytokin/chemokine_&_receptors","Online resource"
"CCL2","predicted secreted protein","HPA"
"CCL2","predicted secreted protein","VerSeDa"
"CCL2","cytokin/chemokine_&_receptors","KEGG"
"CCL2","secreted protein","NABA"
"CCL2","cytokin/chemokine_&_receptors","REACTOME"
"CCL2","cytokin/chemokine_&_receptors","GSEA"
